stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
IMP_XEU27_2020,MT_PRE,T,SI	24 	11 	11 	23 	16 	25 	20 	21 	42 	43 	13 	6 	35 	282 	128 	330 	62 
IMP_XEU27_2020,MT_PRE,T,SK	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,AT	10253 	11814 	9469 	6853 	6500 	2923 	2428 	4525 	12673 	15219 	404 	3520 	4502 	2049 	4046 	485 	469 
IMP_XEU27_2020,MT_PRE,THS_EUR,BE	2200913 	1947080 	1531778 	138 	394550 	160 	309 	309 	204 	1 	0 	0 	0 	16087 	17189 	35 	1978 
IMP_XEU27_2020,MT_PRE,THS_EUR,BG	751 	175 	99 	204 	31 	127 	47 	0 	34 	0 	0 	8 	83 	97 	0 	403 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,CZ	69145 	25821 	27324 	32809 	30632 	26639 	15353 	14099 	9006 	4094 	1270 	408 	125 	757 	1170 	1023 	585 
IMP_XEU27_2020,MT_PRE,THS_EUR,DE	2670516 	1769648 	1605059 	1230952 	1113548 	1168041 	1413388 	1844466 	1602253 	1560876 	1434979 	934736 	1743627 	1649206 	1409017 	710323 	495583 
IMP_XEU27_2020,MT_PRE,THS_EUR,DK	3644 	417 	1508 	1765 	2646 	1969 	1680 	2679 	2805 	853 	1661 	1105 	916 	1207 	898 	944 	1207 
IMP_XEU27_2020,MT_PRE,THS_EUR,EE	4745 	1183 	712 	382 	4730 	726 	1285 	35 	0 	335 	0 	0 	0 	0 	0 	0 	91 
IMP_XEU27_2020,MT_PRE,THS_EUR,EL	31 	0 	1 	1 	1 	0 	0 	1 	234 	0 	0 	3 	3 	9 	0 	0 	6 
IMP_XEU27_2020,MT_PRE,THS_EUR,ES	242304 	392584 	321046 	377476 	483415 	352942 	215958 	215376 	324653 	354845 	37973 	6501 	7074 	8052 	20144 	6213 	2626 
IMP_XEU27_2020,MT_PRE,THS_EUR,EU27_2020	6965981 	5647133 	4601586 	2656556 	2995021 	2543540 	2487668 	2898340 	2955535 	2925443 	2258931 	1508517 	2282937 	1853688 	1579019 	803762 	588126 
IMP_XEU27_2020,MT_PRE,THS_EUR,FI	1540 	732 	733 	198 	1981 	1208 	710 	110 	391 	787 	658 	325 	33 	0 	0 	1 	42 
IMP_XEU27_2020,MT_PRE,THS_EUR,FR	17322 	12500 	27619 	30117 	41182 	14899 	8626 	36257 	14902 	21497 	10944 	13625 	10574 	26092 	32976 	17864 	19315 
IMP_XEU27_2020,MT_PRE,THS_EUR,HR	1 	36 	86 	193 	0 	0 	479 	219 	225 	0 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,HU	6 	60 	141 	120 	0 	0 	0 	2 	1 	0 	0 	0 	0 	0 	893 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,IE	5 	97 	347 	674 	516 	567 	362 	487 	549 	530 	615 	393 	182 	150 	342 	539 	762 
IMP_XEU27_2020,MT_PRE,THS_EUR,IT	1512209 	1229991 	940568 	888884 	861217 	918245 	713562 	716573 	906363 	872800 	684670 	444062 	393553 	53626 	42593 	46288 	48687 
IMP_XEU27_2020,MT_PRE,THS_EUR,LT	92729 	109624 	62241 	39442 	19305 	11623 	9697 	9048 	4625 	6846 	926 	839 	3422 	4302 	1539 	382 	91 
IMP_XEU27_2020,MT_PRE,THS_EUR,LU	27742 	6280 	4219 	3005 	6921 	15449 	46939 	19743 	3 	0 	0 	60 	0 	0 	0 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,LV	1141 	243 	546 	78 	679 	2588 	941 	12 	43 	138 	0 	123 	790 	1082 	331 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,NL	35467 	28056 	8733 	5637 	7442 	3981 	3833 	3651 	2611 	4038 	3526 	340 	716 	883 	348 	261 	677 
IMP_XEU27_2020,MT_PRE,THS_EUR,PL	36832 	88142 	39517 	16506 	9077 	2717 	3531 	746 	12621 	11786 	0 	13282 	12979 	15472 	1066 	1 	75 
IMP_XEU27_2020,MT_PRE,THS_EUR,PT	0 	17 	1 	10 	0 	29 	0 	1 	4 	0 	1 	0 	0 	1 	0 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,MT_PRE,THS_EUR,SE	36846 	21812 	16777 	19068 	9236 	17658 	45728 	26299 	57241 	68194 	79876 	88617 	104173 	74292 	45542 	18777 	15850 
IMP_XEU27_2020,MT_PRE,THS_EUR,SI	1838 	597 	394 	526 	533 	606 	526 	2726 	3932 	2604 	1427 	570 	185 	324 	923 	223 	81 
IMP_XEU27_2020,MT_PRE,THS_EUR,SK	0 	226 	2669 	1518 	878 	443 	2287 	974 	161 	0 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,PAPER,T,AT	60727 	73566 	64929 	69766 	69168 	79153 	81199 	82942 	98251 	109292 	102581 	92956 	88586 	86708 	86277 	88401 	83270 
IMP_XEU27_2020,PAPER,T,BE	170788 	202042 	149627 	87523 	82511 	82530 	99775 	159537 	117809 	129310 	94047 	105820 	102039 	73945 	103392 	80759 	91510 
IMP_XEU27_2020,PAPER,T,BG	4459 	13171 	9549 	18869 	19914 	18873 	17445 	15129 	10352 	6731 	971 	1022 	2229 	5433 	3675 	9523 	5393 
IMP_XEU27_2020,PAPER,T,CY	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,PAPER,T,CZ	364 	106 	45 	68 	40 	114 	48 	129 	391 	218 	147 	177 	514 	674 	119 	293 	95 
IMP_XEU27_2020,PAPER,T,DE	570625 	611091 	631213 	571651 	533512 	494415 	467905 	501883 	538294 	628360 	653003 	451839 	472495 	415494 	322929 	269267 	235656 
IMP_XEU27_2020,PAPER,T,DK	35843 	34606 	40298 	36289 	31077 	41355 	43957 	36360 	49491 	49097 	57058 	30412 	24744 	36339 	26770 	33706 	30750 
IMP_XEU27_2020,PAPER,T,EE	18 	70 	49 	14 	0 	22 	64 	44 	0 	310 	0 	0 	38 	0 	88 	0 	0 
IMP_XEU27_2020,PAPER,T,EL	5305 	10683 	14251 	25790 	16754 	14315 	13326 	4611 	3334 	3001 	1483 	810 	607 	1000 	1874 	1999 	3026 
IMP_XEU27_2020,PAPER,T,ES	108131 	74631 	78820 	92059 	90579 	85613 	60698 	57806 	36250 	46288 	46094 	28420 	56040 	87540 	78560 	37570 	47079 
IMP_XEU27_2020,PAPER,T,EU27_2020	2188809 	2485273 	2675588 	2487637 	2323168 	2111218 	1967385 	1957865 	2178540 	2381625 	2373707 	1933970 	2085481 	2117134 	1973975 	1848846 	1749681 
IMP_XEU27_2020,PAPER,T,FI	5381 	20472 	31920 	34746 	24359 	12640 	24518 	29214 	30988 	13688 	6235 	9390 	15102 	9970 	7146 	6528 	7108 
IMP_XEU27_2020,PAPER,T,FR	238964 	184882 	191934 	198914 	201065 	195929 	178533 	185461 	163616 	199138 	231789 	194073 	241100 	286597 	328831 	372381 	422332 
IMP_XEU27_2020,PAPER,T,HR	35123 	41806 	35598 	33151 	35357 	33485 	34514 	33432 	57480 	71380 	55867 	48599 	68188 	52580 	34285 	26594 	30546 
IMP_XEU27_2020,PAPER,T,HU	33323 	25756 	24014 	34823 	33654 	27900 	25804 	24601 	17054 	1280 	7040 	7238 	23 	545 	49 	16 	212 
IMP_XEU27_2020,PAPER,T,IE	191 	2450 	2871 	6459 	2446 	4759 	4967 	4073 	4353 	5090 	5057 	6225 	4601 	3640 	1389 	3110 	3115 
IMP_XEU27_2020,PAPER,T,IT	93052 	123305 	205445 	116948 	126617 	111937 	108045 	131591 	135107 	169564 	157540 	111204 	157495 	161500 	172045 	154818 	181108 
IMP_XEU27_2020,PAPER,T,LT	2339 	2348 	881 	1822 	3982 	3416 	5821 	11790 	27984 	19406 	13676 	9712 	6911 	9998 	5193 	7518 	9466 
IMP_XEU27_2020,PAPER,T,LU	0 	2 	0 	0 	0 	0 	1 	3 	1 	2 	0 	2 	0 	0 	0 	0 	0 
IMP_XEU27_2020,PAPER,T,LV	3022 	4366 	2569 	1586 	351 	133 	72 	58 	68 	2 	0 	0 	52 	477 	1007 	1377 	1186 
IMP_XEU27_2020,PAPER,T,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,PAPER,T,NL	613090 	617432 	653900 	721343 	586532 	497222 	392327 	359141 	419902 	385152 	350322 	393851 	392860 	474037 	390531 	383073 	280580 
IMP_XEU27_2020,PAPER,T,PL	23747 	11790 	15544 	14621 	12243 	6738 	6513 	13563 	24224 	19638 	24770 	11 	9 	24 	1 	219 	374 
IMP_XEU27_2020,PAPER,T,PT	305 	547 	1403 	2134 	21 	821 	2202 	3563 	2522 	1496 	283 	50 	1845 	1805 	3466 	3044 	1559 
IMP_XEU27_2020,PAPER,T,RO	4259 	7019 	6685 	5232 	7684 	4752 	1969 	2062 	2845 	2037 	2785 	2620 	6790 	2202 	1480 	4393 	7964 
IMP_XEU27_2020,PAPER,T,SE	155536 	390881 	476282 	374605 	406094 	359216 	358689 	264304 	398069 	483525 	521949 	403209 	407475 	373613 	382918 	346445 	291655 
IMP_XEU27_2020,PAPER,T,SI	24213 	32007 	37593 	39226 	39209 	35795 	38561 	35993 	40153 	37618 	40986 	36220 	35698 	33014 	21817 	17071 	15564 
IMP_XEU27_2020,PAPER,T,SK	4 	244 	169 	1 	1 	83 	431 	574 	0 	1 	24 	111 	42 	0 	134 	740 	132 
IMP_XEU27_2020,PAPER,THS_EUR,AT	9126 	12933 	10813 	13084 	11839 	12680 	11912 	12395 	14854 	20357 	16265 	8513 	9777 	9960 	8389 	7597 	7336 
IMP_XEU27_2020,PAPER,THS_EUR,BE	9246 	11419 	11007 	11790 	10898 	9507 	9143 	10181 	13035 	22542 	15637 	11299 	13003 	7674 	8432 	6948 	8359 
IMP_XEU27_2020,PAPER,THS_EUR,BG	457 	1352 	1108 	2760 	2558 	2154 	1915 	1717 	1130 	946 	105 	56 	195 	679 	303 	767 	466 
IMP_XEU27_2020,PAPER,THS_EUR,CY	1 	0 	0 	1 	0 	1 	0 	0 	5 	3 	0 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,PAPER,THS_EUR,CZ	68 	67 	47 	126 	33 	68 	37 	72 	91 	34 	11 	31 	85 	85 	45 	41 	12 
IMP_XEU27_2020,PAPER,THS_EUR,DE	67446 	78838 	97354 	102335 	88638 	77138 	69299 	75482 	80181 	112628 	97582 	42364 	61641 	52406 	32095 	26505 	24010 
IMP_XEU27_2020,PAPER,THS_EUR,DK	3431 	3673 	4918 	5022 	3693 	3985 	4200 	3826 	6532 	6802 	7045 	3332 	3231 	2749 	1975 	3058 	2957 
IMP_XEU27_2020,PAPER,THS_EUR,EE	2 	18 	11 	1 	0 	4 	14 	9 	0 	83 	0 	0 	9 	0 	17 	0 	0 
IMP_XEU27_2020,PAPER,THS_EUR,EL	814 	2123 	2486 	5340 	3159 	2358 	2055 	644 	458 	440 	287 	157 	137 	192 	307 	340 	433 
IMP_XEU27_2020,PAPER,THS_EUR,ES	16752 	12184 	13475 	16138 	14550 	12818 	8342 	8357 	6493 	13150 	11528 	2549 	8995 	11631 	10094 	4147 	5462 
IMP_XEU27_2020,PAPER,THS_EUR,EU27_2020	245935 	302684 	365423 	389571 	331228 	297503 	259045 	274554 	313356 	407917 	350706 	184387 	276010 	267661 	211244 	188664 	186477 
IMP_XEU27_2020,PAPER,THS_EUR,FI	906 	3672 	5369 	5552 	2963 	1904 	3704 	4295 	4859 	2604 	1117 	1217 	2505 	1591 	1122 	1045 	1190 
IMP_XEU27_2020,PAPER,THS_EUR,FR	24140 	22892 	27402 	31852 	29305 	25760 	20821 	22340 	20571 	31847 	34371 	14932 	27106 	33161 	29794 	32827 	35991 
IMP_XEU27_2020,PAPER,THS_EUR,HR	3645 	5092 	4706 	4688 	4344 	3543 	3463 	3439 	6008 	9445 	5506 	2721 	6068 	4480 	2417 	1827 	2584 
IMP_XEU27_2020,PAPER,THS_EUR,HU	3282 	3145 	3437 	5738 	5088 	3905 	3504 	3400 	2402 	221 	851 	670 	2 	81 	4 	13 	9 
IMP_XEU27_2020,PAPER,THS_EUR,IE	1425 	2917 	3201 	3586 	2611 	3715 	4966 	4054 	4814 	4321 	5625 	5359 	3400 	2707 	951 	1495 	2819 
IMP_XEU27_2020,PAPER,THS_EUR,IT	23042 	34985 	46924 	31336 	36273 	32033 	26698 	32550 	34773 	52546 	43854 	23009 	35890 	36945 	35958 	29481 	35622 
IMP_XEU27_2020,PAPER,THS_EUR,LT	517 	548 	139 	321 	615 	560 	813 	1314 	3255 	2674 	1710 	706 	698 	953 	391 	558 	644 
IMP_XEU27_2020,PAPER,THS_EUR,LU	0 	0 	0 	0 	10 	2 	3 	1 	0 	0 	1 	33 	11 	5 	0 	5 	6 
IMP_XEU27_2020,PAPER,THS_EUR,LV	611 	841 	482 	298 	56 	22 	25 	20 	21 	5 	0 	0 	3 	52 	104 	138 	107 
IMP_XEU27_2020,PAPER,THS_EUR,MT	3 	4 	0 	0 	0 	1 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
IMP_XEU27_2020,PAPER,THS_EUR,NL	61911 	72464 	93214 	109971 	79505 	76160 	58328 	55925 	57921 	65422 	50780 	33900 	56181 	60940 	44248 	42741 	31951 
IMP_XEU27_2020,PAPER,THS_EUR,PL	1713 	990 	1532 	2205 	1464 	752 	869 	1708 	3306 	2967 	2956 	9 	16 	42 	10 	123 	128 
IMP_XEU27_2020,PAPER,THS_EUR,PT	82 	259 	689 	813 	21 	315 	759 	1240 	918 	668 	134 	34 	391 	399 	581 	430 	228 
IMP_XEU27_2020,PAPER,THS_EUR,RO	741 	893 	959 	771 	985 	611 	252 	227 	354 	338 	296 	169 	806 	237 	136 	379 	737 
IMP_XEU27_2020,PAPER,THS_EUR,SE	12777 	24566 	27252 	27590 	25406 	20854 	21563 	24820 	44508 	50376 	48582 	28822 	39468 	34590 	30613 	26245 	23809 
IMP_XEU27_2020,PAPER,THS_EUR,SI	3776 	6727 	8841 	8243 	7204 	6636 	6278 	6422 	6863 	7497 	6459 	4493 	6316 	6103 	3242 	1858 	1594 
IMP_XEU27_2020,PAPER,THS_EUR,SK	19 	82 	56 	9 	10 	18 	83 	114 	4 	1 	4 	12 	75 	0 	18 	96 	24 
IMP_XEU27_2020,PLAST,T,AT	25524 	27281 	24867 	20768 	21632 	19374 	18058 	15976 	14341 	21538 	19350 	16090 	21507 	23825 	16908 	3477 	2826 
IMP_XEU27_2020,PLAST,T,BE	39672 	42487 	39450 	44391 	36747 	25315 	26269 	27158 	25321 	32249 	19976 	25571 	23785 	24323 	25860 	24403 	29668 
IMP_XEU27_2020,PLAST,T,BG	4395 	7952 	7307 	4092 	5946 	3794 	1359 	915 	816 	1355 	304 	187 	1355 	616 	621 	898 	831 
IMP_XEU27_2020,PLAST,T,CY	300 	41 	309 	37 	2 	110 	112 	107 	39 	96 	265 	99 	0 	1 	2 	41 	63 
IMP_XEU27_2020,PLAST,T,CZ	2163 	2484 	1956 	1864 	744 	325 	422 	868 	700 	1851 	377 	1376 	4652 	3917 	3195 	2602 	1933 
IMP_XEU27_2020,PLAST,T,DE	133349 	150842 	136329 	133375 	138229 	137385 	124170 	130515 	119765 	85224 	74848 	61175 	70151 	78593 	80392 	82697 	79572 
IMP_XEU27_2020,PLAST,T,DK	22584 	68726 	76078 	55387 	36472 	32793 	19177 	13485 	15121 	15552 	16314 	11968 	12290 	11246 	30132 	42966 	42950 
IMP_XEU27_2020,PLAST,T,EE	393 	4733 	1687 	137 	289 	114 	186 	222 	593 	4254 	17383 	151 	268 	445 	434 	13204 	385 
IMP_XEU27_2020,PLAST,T,EL	11951 	7606 	4770 	3552 	2765 	2099 	2324 	1271 	613 	302 	574 	193 	731 	761 	452 	1179 	569 
IMP_XEU27_2020,PLAST,T,ES	58360 	68256 	44095 	29854 	20739 	28983 	23242 	17503 	12022 	12442 	7275 	7165 	13657 	16340 	11987 	9186 	7201 
IMP_XEU27_2020,PLAST,T,EU27_2020	707395 	824970 	745332 	763990 	784772 	794863 	635664 	639750 	598308 	608283 	601878 	365863 	383582 	386256 	397502 	376492 	289485 
IMP_XEU27_2020,PLAST,T,FI	1394 	1709 	235 	150 	300 	3343 	6530 	2972 	15178 	12916 	16662 	24996 	21560 	32497 	24385 	15603 	13687 
IMP_XEU27_2020,PLAST,T,FR	28887 	46197 	39211 	30548 	28454 	32083 	37803 	44346 	33681 	37621 	29886 	15384 	20103 	20700 	18023 	15593 	16756 
IMP_XEU27_2020,PLAST,T,HR	6110 	6721 	5839 	5203 	8219 	7605 	8362 	10025 	6886 	4260 	3886 	2679 	2693 	649 	648 	1215 	402 
IMP_XEU27_2020,PLAST,T,HU	1492 	400 	557 	1006 	192 	627 	349 	181 	256 	1115 	426 	184 	69 	97 	265 	184 	210 
IMP_XEU27_2020,PLAST,T,IE	20555 	28095 	24505 	30146 	21572 	31544 	22894 	12588 	10422 	14193 	12285 	6127 	15605 	4270 	7501 	3382 	2346 
IMP_XEU27_2020,PLAST,T,IT	29626 	27683 	29557 	28826 	25889 	18922 	21681 	19960 	21547 	23344 	19199 	14331 	24462 	29687 	26770 	22111 	22326 
IMP_XEU27_2020,PLAST,T,LT	10042 	13647 	13010 	12435 	12734 	13774 	14412 	11827 	7186 	5334 	4570 	1335 	4779 	7223 	6371 	6251 	4062 
IMP_XEU27_2020,PLAST,T,LU	921 	1685 	1027 	280 	1337 	854 	631 	547 	690 	47 	69 	958 	1410 	3194 	2001 	2500 	4116 
IMP_XEU27_2020,PLAST,T,LV	17908 	15254 	16299 	2592 	992 	1214 	4157 	18066 	14701 	17934 	1217 	1676 	3717 	3106 	3024 	3212 	1315 
IMP_XEU27_2020,PLAST,T,MT	55 	92 	22 	3341 	46 	70 	67 	193 	306 	155 	201 	101 	180 	58 	73 	46 	60 
IMP_XEU27_2020,PLAST,T,NL	109141 	137125 	115162 	115449 	147612 	107918 	91002 	75923 	54850 	49455 	43435 	34381 	44872 	42808 	39143 	36901 	35007 
IMP_XEU27_2020,PLAST,T,PL	19691 	29017 	26582 	34157 	32056 	21607 	10188 	3997 	3523 	4111 	3851 	4113 	3007 	3116 	2612 	3747 	1434 
IMP_XEU27_2020,PLAST,T,PT	30922 	35249 	55285 	82067 	85660 	101007 	30238 	1287 	978 	4642 	1355 	2162 	4186 	2965 	3027 	1495 	1062 
IMP_XEU27_2020,PLAST,T,RO	14352 	11777 	8498 	5199 	6371 	8522 	12147 	13086 	12559 	13012 	5918 	1498 	1322 	1486 	2370 	2328 	1315 
IMP_XEU27_2020,PLAST,T,SE	113408 	83991 	65530 	113977 	144480 	189722 	154702 	212833 	222409 	242802 	298448 	131501 	85476 	72035 	90540 	80214 	18731 
IMP_XEU27_2020,PLAST,T,SI	3732 	4775 	5832 	3981 	4269 	4618 	4132 	2660 	2755 	1743 	3791 	456 	1535 	1978 	547 	698 	314 
IMP_XEU27_2020,PLAST,T,SK	468 	1144 	1331 	1174 	1025 	1139 	1049 	1239 	1049 	735 	13 	9 	212 	322 	220 	357 	343 
IMP_XEU27_2020,PLAST,THS_EUR,AT	6574 	6755 	3835 	2396 	2471 	2680 	3420 	2652 	1718 	2579 	2152 	1625 	2137 	2558 	2496 	1057 	1085 
IMP_XEU27_2020,PLAST,THS_EUR,BE	20388 	27641 	25817 	30602 	25457 	26594 	24146 	25322 	25375 	30728 	19690 	21188 	25275 	24920 	18300 	14027 	14107 
IMP_XEU27_2020,PLAST,THS_EUR,BG	1452 	2369 	2262 	1415 	2225 	1422 	564 	335 	313 	581 	137 	119 	289 	265 	226 	334 	304 
IMP_XEU27_2020,PLAST,THS_EUR,CY	77 	17 	6 	14 	5 	117 	154 	93 	24 	54 	68 	30 	1 	1 	3 	33 	46 
IMP_XEU27_2020,PLAST,THS_EUR,CZ	1350 	1649 	1435 	1901 	985 	185 	228 	644 	581 	1543 	290 	776 	1446 	1356 	1452 	1682 	530 
IMP_XEU27_2020,PLAST,THS_EUR,DE	29854 	41540 	35553 	35390 	36490 	42544 	37027 	33861 	36431 	25197 	21826 	14921 	19045 	20280 	18635 	14939 	14381 
IMP_XEU27_2020,PLAST,THS_EUR,DK	1829 	1826 	2412 	3779 	3454 	3924 	4130 	3626 	2285 	2416 	2458 	1312 	2275 	2785 	3312 	3806 	2973 
IMP_XEU27_2020,PLAST,THS_EUR,EE	233 	415 	242 	68 	94 	42 	87 	81 	186 	81 	244 	63 	98 	261 	149 	335 	120 
IMP_XEU27_2020,PLAST,THS_EUR,EL	3301 	2840 	2024 	1444 	1357 	1497 	1637 	903 	1019 	208 	384 	97 	475 	423 	258 	664 	323 
IMP_XEU27_2020,PLAST,THS_EUR,ES	17748 	29651 	20778 	13146 	8923 	13573 	11387 	10335 	5970 	4655 	2028 	1893 	5159 	6793 	3962 	3076 	2678 
IMP_XEU27_2020,PLAST,THS_EUR,EU27_2020	220175 	270775 	241979 	217417 	203738 	224358 	213516 	197479 	170807 	166209 	128122 	90988 	134002 	130693 	109939 	90560 	78257 
IMP_XEU27_2020,PLAST,THS_EUR,FI	807 	676 	508 	231 	386 	477 	1445 	1533 	1384 	901 	892 	722 	1380 	1238 	1205 	1104 	1231 
IMP_XEU27_2020,PLAST,THS_EUR,FR	21547 	33467 	30924 	25138 	22969 	27006 	30291 	31721 	22173 	24417 	24822 	17180 	16822 	17099 	12712 	11056 	10045 
IMP_XEU27_2020,PLAST,THS_EUR,HR	2007 	2287 	1980 	2036 	3182 	3046 	3125 	4637 	2795 	1661 	1107 	757 	869 	232 	164 	351 	56 
IMP_XEU27_2020,PLAST,THS_EUR,HU	265 	172 	277 	356 	91 	256 	142 	67 	101 	158 	439 	36 	44 	47 	96 	118 	82 
IMP_XEU27_2020,PLAST,THS_EUR,IE	11782 	19264 	16215 	17453 	11995 	19172 	18415 	9635 	10667 	13765 	9472 	3896 	12591 	5460 	7223 	4830 	3420 
IMP_XEU27_2020,PLAST,THS_EUR,IT	14198 	17962 	17968 	16387 	14388 	11971 	12681 	11347 	13748 	15066 	10086 	6425 	15513 	19005 	14839 	11102 	9050 
IMP_XEU27_2020,PLAST,THS_EUR,LT	1940 	1738 	1963 	1843 	2267 	3141 	3525 	2733 	2121 	1568 	1149 	278 	759 	857 	647 	836 	325 
IMP_XEU27_2020,PLAST,THS_EUR,LU	289 	517 	337 	106 	527 	332 	228 	352 	308 	40 	34 	226 	459 	662 	842 	725 	746 
IMP_XEU27_2020,PLAST,THS_EUR,LV	6637 	6582 	7170 	874 	197 	222 	587 	1370 	1299 	637 	321 	368 	326 	345 	514 	395 	202 
IMP_XEU27_2020,PLAST,THS_EUR,MT	97 	145 	54 	113 	136 	206 	168 	293 	281 	115 	199 	86 	189 	66 	132 	63 	85 
IMP_XEU27_2020,PLAST,THS_EUR,NL	48022 	43041 	41322 	38677 	42963 	40348 	35253 	30687 	23145 	24402 	19029 	11770 	18644 	17740 	15661 	13423 	12228 
IMP_XEU27_2020,PLAST,THS_EUR,PL	9807 	11850 	8592 	9274 	7632 	5602 	4046 	1811 	1284 	1558 	1683 	1508 	1593 	1250 	1149 	1698 	572 
IMP_XEU27_2020,PLAST,THS_EUR,PT	2868 	3832 	5768 	3422 	2894 	2484 	1211 	690 	533 	2245 	827 	1166 	2898 	1768 	1985 	876 	561 
IMP_XEU27_2020,PLAST,THS_EUR,RO	4171 	5442 	3918 	2083 	2436 	2688 	5905 	6203 	6149 	4644 	2376 	470 	502 	495 	769 	645 	355 
IMP_XEU27_2020,PLAST,THS_EUR,SE	11188 	6574 	7308 	6475 	8339 	12087 	11911 	14603 	9164 	5984 	4650 	3863 	4114 	3288 	2998 	2889 	2357 
IMP_XEU27_2020,PLAST,THS_EUR,SI	1347 	1686 	2985 	1691 	1604 	2405 	1515 	1162 	1123 	654 	1743 	202 	1046 	1426 	180 	256 	126 
IMP_XEU27_2020,PLAST,THS_EUR,SK	394 	840 	326 	1105 	271 	341 	287 	782 	630 	353 	17 	9 	56 	74 	31 	238 	270 
IMP_XEU27_2020,TOTAL,T,AT	230272 	239620 	227282 	240671 	227663 	224773 	232416 	198171 	207542 	220474 	216328 	201107 	251442 	234152 	216751 	212707 	243874 
IMP_XEU27_2020,TOTAL,T,BE	598343 	601158 	649836 	486980 	433260 	289514 	365670 	452233 	352703 	413541 	436711 	332102 	613855 	656618 	695479 	727564 	906583 
IMP_XEU27_2020,TOTAL,T,BG	123225 	114373 	101765 	129744 	101183 	88140 	78662 	71560 	92150 	140981 	56392 	33796 	44880 	140954 	84748 	46338 	52947 
IMP_XEU27_2020,TOTAL,T,CY	300 	41 	333 	78 	132 	162 	112 	107 	40 	97 	265 	113 	569 	39 	2 	79 	97 
IMP_XEU27_2020,TOTAL,T,CZ	7543 	7943 	6048 	4906 	5065 	3330 	5204 	5396 	4771 	3409 	2045 	2405 	6679 	7327 	10530 	10825 	2692 
IMP_XEU27_2020,TOTAL,T,DE	1586897 	1646928 	1745654 	1776304 	1685959 	1621160 	1606759 	1664186 	1752201 	1754461 	1655674 	1315493 	1415099 	1487577 	1480373 	1354457 	1345200 
IMP_XEU27_2020,TOTAL,T,DK	114911 	178193 	187546 	136596 	109140 	116317 	116738 	181847 	85432 	76337 	86237 	65540 	116134 	96289 	96724 	167306 	145036 
IMP_XEU27_2020,TOTAL,T,EE	21475 	22413 	16119 	12353 	5159 	4143 	4172 	2657 	1647 	8404 	18568 	1445 	1316 	21817 	55128 	108518 	83883 
IMP_XEU27_2020,TOTAL,T,EL	636293 	723695 	624796 	506196 	496690 	222002 	156299 	122717 	213724 	427029 	511469 	596555 	972506 	1165175 	992603 	1038300 	939466 
IMP_XEU27_2020,TOTAL,T,ES	1107917 	1455346 	1477459 	1666807 	1669817 	2319942 	2155609 	2131376 	1680731 	1812062 	2138856 	1744513 	3008994 	3058547 	3883793 	3830302 	4050755 
IMP_XEU27_2020,TOTAL,T,EU27_2020	8282207 	8957025 	9271658 	9316128 	8729723 	9234859 	8788086 	9074930 	9068312 	9818170 	9586023 	8029941 	11364869 	11971939 	13223782 	12578070 	13040661 
IMP_XEU27_2020,TOTAL,T,FI	10723 	28449 	36031 	36209 	25928 	17436 	32874 	35367 	51560 	149402 	127960 	132193 	235781 	324391 	590301 	533582 	621088 
IMP_XEU27_2020,TOTAL,T,FR	453155 	414099 	470386 	585984 	546214 	643515 	711107 	735465 	942121 	882719 	774214 	821327 	1030357 	1097299 	1087393 	951366 	1230973 
IMP_XEU27_2020,TOTAL,T,HR	83560 	77714 	74497 	50907 	55795 	70735 	89421 	73957 	65339 	90901 	70501 	53765 	84134 	58248 	39962 	38936 	35624 
IMP_XEU27_2020,TOTAL,T,HU	41234 	30710 	30958 	46599 	38629 	41252 	29079 	27909 	20023 	6551 	10552 	11102 	11584 	8983 	4970 	3316 	6847 
IMP_XEU27_2020,TOTAL,T,IE	22319 	33776 	30932 	38818 	25285 	40152 	31172 	20336 	21238 	22502 	21528 	16005 	24389 	11683 	12571 	7733 	6422 
