stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,MT_FER,THS_EUR,DK	414811 	438687 	509827 	461110 	379905 	353869 	534425 	388182 	486719 	575054 	503095 	342059 	580808 	513572 	377005 	293778 	311976 
EXP,MT_FER,THS_EUR,EE	147783 	136123 	175768 	163983 	81151 	72339 	121572 	148883 	204298 	187369 	151197 	79693 	207198 	137430 	133475 	93014 	66704 
EXP,MT_FER,THS_EUR,EL	22998 	20057 	26243 	16653 	10828 	10951 	30015 	28411 	31715 	36659 	31393 	19321 	23164 	29968 	27291 	15170 	17365 
EXP,MT_FER,THS_EUR,ES	211754 	221899 	312855 	182987 	137794 	155156 	231206 	211311 	297984 	315107 	214093 	130694 	139199 	149749 	97246 	71955 	80218 
EXP,MT_FER,THS_EUR,EU27_2020	4401717 d	4267379 d	4407192 d	3564412 d	2454841 d	2332936 d	3634749 d	3768988 d	5225291 d	5383320 d	4616232 d	2909376 d	3595799 d	3193536 d	2333397 d	1793746 d	1751596 d
EXP,MT_FER,THS_EUR,EU28	: 	6009570 d	6422356 d	5522118 d	3818799 d	3641572 d	5091859 d	5169225 d	6924283 d	7120683 d	5998590 d	3753411 d	4729712 d	4273778 d	3192738 d	2461370 d	2421387 d
EXP,MT_FER,THS_EUR,FI	174778 	126775 	123657 	92062 	72104 	79701 	105205 	111343 	109047 	96837 	66457 	60132 	103186 	83262 	57383 	60031 	70711 
EXP,MT_FER,THS_EUR,FR	1548262 	1761612 	1994965 	1786203 	1266826 	1448565 	1950793 	1903425 	2160670 	2270165 	2065548 	1169112 	2261162 	2025680 	1719099 	1171749 	1256495 
EXP,MT_FER,THS_EUR,HR	134967 	105280 	100453 	99376 	66862 	60549 	88036 	102629 	154249 	157306 	89870 	52974 	106069 	94969 	76427 	51898 	45893 
EXP,MT_FER,THS_EUR,HU	202924 	211517 	262946 	235825 	175812 	201414 	285194 	312871 	361137 	400180 	284121 	113976 	227234 	159755 	145786 	148629 	163394 
